"person_gender","person_education","loan_int_rate","loan_percent_income","credit_score","loan_status"
"female","High School",14.96,0.36,634,1
"female","Bachelor",11.01,0.12,653,0
"male","Bachelor",13.99,0.1,699,0
"male","High School",7.49,0.1,656,0
"male","High School",14.79,0.06,626,0
"male","High School",11.99,0.06,659,0
"female","High School",8.49,0.04,604,0
"male","Associate",9.91,0.31,636,1
"male","Master",13.06,0.31,554,1
"male","High School",6.17,0.04,587,0
"male","Associate",11.86,0.02,807,0
"male","Bachelor",16.32,0.07,708,0
"female","Master",10.38,0.05,669,0
"male","Associate",14.35,0.1,578,0
"male","Bachelor",11.01,0.08,615,0
"female","Master",11.01,0.34,553,1
"male","Master",11.01,0.17,635,1
"female","Associate",15.21,0.31,531,1
"male","High School",7.9,0.31,621,1
"male","Bachelor",10.99,0.31,674,1
"female","Associate",14.09,0.3,688,1
"female","High School",17.49,0.3,597,1
"male","Associate",11.48,0.05,640,0
"female","Associate",17.74,0.09,621,1
"female","Bachelor",13.92,0.01,608,0
"male","Bachelor",15.21,0.29,653,1
"female","Bachelor",10.99,0.22,585,1
"female","High School",11.86,0.29,569,1
"male","Bachelor",7.49,0.33,587,1
"male","Bachelor",16.49,0.37,631,1
"female","High School",15.33,0.31,592,1
"female","High School",11.58,0.31,679,1
"male","High School",5.79,0.29,645,1
"male","Associate",13.11,0.28,669,1
"female","Bachelor",10.36,0.28,653,1
"male","Bachelor",10.36,0.27,577,1
"male","High School",11.01,0.1,668,0
"male","Bachelor",6.54,0.09,629,0
"female","Associate",12.53,0.04,643,0
"male","Bachelor",11.01,0.07,626,0
"male","Bachelor",11.01,0.04,560,0
"male","Bachelor",10.25,0.27,648,1
"male","Associate",15.95,0.29,648,1
"male","Associate",12.18,0.09,669,0
"male","High School",11.83,0.1,536,0
"male","High School",11.01,0.26,548,1
"female","Master",10.62,0.26,667,1
"male","High School",10.74,0.26,676,1
"male","Associate",10.25,0.04,570,0
"male","High School",12.42,0.16,623,0
"female","Bachelor",15.27,0.07,652,0
"female","High School",15.33,0.33,625,1
"female","High School",15.21,0.26,642,1
"male","Bachelor",14.72,0.35,580,1
"male","Associate",15.7,0.26,622,1
"male","Bachelor",13.35,0.26,581,1
"female","High School",11.01,0.08,623,0
"male","Master",6.62,0.26,583,1
"male","Bachelor",13.61,0.26,645,1
"female","Associate",11.36,0.11,593,0
"male","Associate",7.68,0.02,659,0
"female","Bachelor",14.46,0.1,655,0
"male","Associate",11.83,0.01,583,0
"female","Associate",13.47,0.1,582,1
"female","Bachelor",11.49,0.09,504,0
"male","High School",11.01,0,551,0
"female","Associate",6.03,0.07,529,0
"female","Bachelor",16.35,0.28,674,1
"female","High School",11.01,0.28,595,1
"female","High School",7.29,0.25,597,1
"male","High School",11.36,0.25,566,1
"male","High School",10.25,0.25,666,0
"female","Bachelor",11.12,0.25,695,0
"female","Bachelor",12.92,0.25,576,0
"male","High School",18.64,0.08,651,0
"female","Bachelor",7.51,0.13,633,0
"male","Master",16.7,0.22,566,1
"male","Master",11.14,0.11,583,0
"female","Associate",18.3,0.24,586,0
"female","Associate",10.62,0.24,592,0
"male","Bachelor",11.99,0.06,598,0
"male","Master",9.63,0.06,637,0
"female","High School",18.25,0.06,628,1
"male","Master",11.01,0.32,667,1
"male","Associate",14.84,0.24,621,0
"male","Bachelor",14.7,0.27,668,1
"female","High School",16.02,0.27,544,1
"male","Associate",15.37,0.31,699,1
"female","Bachelor",10.99,0.23,611,0
"male","Associate",7.9,0.33,615,1
"female","High School",10.99,0.12,559,0
"female","High School",11.48,0.1,577,0
"male","High School",14.26,0.09,657,0
"male","Associate",8,0.05,676,0
"male","Bachelor",11.26,0.05,601,0
"female","Master",11.01,0.24,647,1
"female","Master",16.32,0.26,576,1
"male","Master",17.93,0.31,612,1
"male","Bachelor",11.36,0.23,678,0
"female","Associate",14.96,0.26,542,1
"female","Associate",13.43,0.23,709,0
"male","Associate",12.69,0.22,622,0
"male","Associate",12.73,0.22,642,0
"female","High School",15.21,0.22,660,0
"female","Bachelor",12.68,0.09,587,0
"female","High School",19.04,0.29,646,1
"female","Master",15.95,0.24,637,1
"male","Bachelor",8.9,0.01,718,0
"male","Master",7.9,0.04,588,0
"male","Associate",11.01,0.09,652,0
"male","Bachelor",11.99,0.1,620,0
"male","High School",13.98,0.21,667,1
"female","Associate",10.99,0.24,688,1
"male","Associate",15.58,0.23,667,1
"male","Master",10.99,0.28,692,1
"male","Bachelor",14.96,0.23,562,1
"male","High School",15.31,0.09,625,0
"male","High School",15.65,0.23,649,1
"female","High School",9.33,0.21,545,0
"male","High School",13.47,0.19,540,1
"female","Associate",10.36,0.2,637,0
"male","Associate",16.77,0.22,600,1
"male","High School",14.59,0.22,633,1
"male","High School",11.91,0.02,588,0
"female","Associate",8.38,0.03,624,0
"male","High School",10.59,0.04,525,0
"male","High School",14.27,0.04,616,0
"female","Master",12.53,0.06,675,0
"female","Associate",16,0.13,662,1
"male","Master",11.71,0.05,585,0
"male","Master",11.54,0.17,686,1
"female","Bachelor",15.68,0.21,595,1
"female","Associate",10.59,0.08,537,0
"female","High School",12.61,0.21,625,1
"female","High School",11.01,0.19,641,0
"female","Associate",8.49,0.14,661,1
"male","High School",17.27,0.16,577,1
"male","Bachelor",8.9,0.09,537,0
"female","High School",11.11,0.05,646,0
"male","High School",14.59,0.13,653,1
"female","Associate",12.42,0.06,654,0
"male","Associate",11.01,0.25,635,1
"female","Master",15.7,0.19,675,0
"female","Master",12.53,0.13,618,1
"female","Master",16.49,0.03,609,1
"female","Bachelor",7.49,0.1,545,0
"female","High School",14.96,0.21,629,1
"male","Associate",12.73,0.18,539,0
"male","Master",10.65,0.17,593,0
"female","High School",10.74,0.17,683,0
"male","Bachelor",9.99,0.17,670,0
"male","Master",15.33,0.23,662,1
"female","High School",7.29,0.05,681,0
"male","High School",15.05,0.19,636,1
"male","Master",10.75,0.16,677,0
"female","Bachelor",16.02,0.16,656,0
"female","Associate",11.49,0.16,674,0
"female","Associate",12.53,0.1,587,0
"female","Bachelor",13.57,0.06,658,0
"male","High School",11.14,0.07,581,0
"male","High School",12.87,0.12,606,0
"female","Associate",11.58,0.1,648,0
"female","Associate",11.12,0.01,563,0
"female","Master",10.65,0.17,589,0
"male","Associate",10.37,0.15,641,0
"male","Associate",6.39,0.17,637,1
"male","High School",16.07,0.15,578,0
"female","Bachelor",10.62,0.15,660,0
"male","High School",18.09,0.16,586,1
"male","Associate",11.36,0.15,567,0
"female","Bachelor",12.53,0.15,582,0
"female","Bachelor",9.99,0.14,712,0
"male","High School",10.36,0.14,674,0
"female","Master",5.99,0.05,532,0
"female","Master",15.62,0.13,670,1
"male","Master",10.37,0.1,658,0
"male","Associate",19.74,0.13,669,0
"male","Bachelor",6.91,0.1,681,0
"male","Associate",7.9,0.3,618,1
"female","Bachelor",13.06,0.11,573,0
"female","High School",6.39,0.1,491,0
"male","Master",14.93,0.14,590,1
"female","High School",12.84,0.27,587,1
"male","Master",17.14,0.18,648,1
"male","Master",7.14,0.27,687,1
"male","Bachelor",8.9,0.12,621,0
"female","High School",12.42,0.1,590,0
"male","Associate",12.68,0.11,676,0
"female","Associate",11.03,0.13,677,0
"male","Bachelor",7.9,0.15,651,0
"male","High School",10.65,0.18,602,0
"male","High School",11.86,0.09,652,0
"male","Associate",8.94,0.25,572,1
"male","Bachelor",9.63,0.21,528,1
"female","High School",14.22,0.41,638,1
"female","High School",9.33,0.34,655,1
"male","Master",13.85,0.24,627,0
"male","High School",10.65,0.1,596,0
"female","Bachelor",11.46,0.22,694,0
"female","Associate",7.66,0.18,684,0
"female","Bachelor",16.77,0.06,547,0
"female","Bachelor",9.63,0.06,586,0
"female","Bachelor",12.23,0.13,694,0
"male","Master",14.09,0.07,639,1
"female","Bachelor",13.98,0.37,663,1
"female","High School",10.62,0.32,528,1
"male","Bachelor",11.01,0.18,636,1
"male","High School",17.56,0.29,603,1
"male","High School",14.96,0.36,507,1
"male","Master",15.65,0.27,692,1
"female","Associate",15.7,0.3,604,1
"female","Bachelor",12.53,0.22,622,0
"female","Bachelor",17.56,0.26,643,1
"male","High School",12.87,0.2,565,0
"male","Master",15.7,0.19,718,0
"male","Bachelor",11.01,0.05,625,0
"male","Bachelor",11.14,0.08,614,0
"female","Bachelor",16,0.1,690,0
"male","High School",15.65,0.13,564,0
"female","Associate",11.01,0.07,579,0
"female","High School",15.31,0.08,648,0
"male","Master",13.47,0.1,531,0
"male","Associate",13.85,0.22,658,1
"female","Bachelor",11.01,0.18,574,0
"male","High School",10.39,0.28,671,1
"male","High School",11.36,0.17,633,0
"male","High School",11.83,0.14,631,0
"male","Associate",12.53,0.07,652,0
"female","Bachelor",14.96,0.18,683,1
"female","Bachelor",13.85,0.46,693,1
"female","Bachelor",11.58,0.42,603,1
"female","High School",16.29,0.41,522,1
"female","High School",11.01,0.41,664,1
"female","Master",16.29,0.44,645,1
"male","Bachelor",10.74,0.38,592,1
"female","Associate",15.27,0.1,636,0
"female","Bachelor",17.8,0.42,672,1
"female","Bachelor",11.36,0.05,686,0
"female","High School",17.56,0.4,590,1
"female","Master",7.9,0.33,636,1
"female","High School",10.99,0.33,580,1
"male","Bachelor",7.29,0.33,674,1
"female","Associate",10.75,0.33,601,1
"female","High School",7.9,0.32,620,1
"male","Master",14.84,0.32,642,1
"male","Associate",11.01,0.3,616,1
"female","Associate",11.01,0.23,588,1
"male","High School",19.69,0.33,585,1
"male","Bachelor",11.01,0.3,632,1
"male","High School",14.96,0.33,556,1
"male","Bachelor",6.99,0.3,602,1
"male","High School",16.45,0.32,639,1
"male","Associate",10.99,0.28,603,1
"male","Associate",10.99,0.27,689,1
"male","High School",7.9,0.13,672,1
"female","Master",12.69,0.26,499,1
"male","Bachelor",10.37,0.26,643,1
"male","Bachelor",11.01,0.26,589,1
"male","Master",15.83,0.29,646,1
"male","Associate",13.92,0.25,613,1
"female","High School",11.49,0.09,567,0
"female","Bachelor",10.25,0.25,603,0
"female","Associate",7.49,0.15,647,1
"female","Master",5.99,0.18,645,1
"female","Bachelor",12.92,0.26,672,1
"female","Master",11.58,0.22,648,0
"male","High School",8.9,0.21,653,0
"male","Bachelor",19.69,0.24,590,1
"female","Master",6.54,0.21,704,0
"female","Master",14.54,0.21,674,1
"female","Bachelor",11.11,0.22,594,1
"female","High School",12.73,0.2,626,0
"female","Master",15.62,0.18,701,0
"male","Associate",6.54,0.28,602,1
"female","Associate",11.01,0.2,503,1
"female","Associate",20,0.19,657,1
"female","High School",9.91,0.17,638,0
"female","Bachelor",12.69,0.17,646,0
"male","Associate",20,0.18,678,1
"male","Master",16.49,0.16,684,0
"male","Bachelor",15.95,0.11,594,1
"male","Master",11.49,0.15,538,0
"female","Bachelor",10.99,0.15,662,0
"male","High School",13.79,0.15,636,0
"male","Master",20,0.17,613,1
"female","Associate",7.49,0.13,573,0
"male","Master",16,0.14,714,1
"male","Associate",7.88,0.57,640,1
"male","Bachelor",10.62,0.28,637,1
"female","High School",10.99,0.13,633,0
"male","Bachelor",18.3,0.13,615,1
"male","Bachelor",11.01,0.12,552,0
"male","Bachelor",11.36,0.11,670,0
"male","Associate",11.01,0.45,678,1
"female","Master",13.47,0.16,676,0
"female","High School",11.89,0.35,624,1
"male","High School",12.18,0.44,649,1
"male","High School",13.49,0.19,555,0
"female","Associate",14.5,0.26,613,1
"male","Bachelor",11.01,0.18,684,1
"male","Bachelor",15.31,0.24,647,1
"male","High School",11.01,0.18,580,1
"female","Bachelor",11.01,0.15,630,1
"male","Bachelor",7.49,0.29,589,1
"male","High School",11.01,0.43,621,1
"female","Master",11.01,0.34,665,1
"female","Bachelor",12.18,0.32,668,1
"female","Bachelor",11.34,0.05,615,0
"female","High School",9.91,0.3,604,1
"male","High School",11.99,0.29,620,1
"male","Master",9.62,0.28,558,1
"male","Bachelor",9.96,0.13,603,1
"male","Bachelor",11.01,0.24,683,0
"male","Associate",14.54,0.22,641,1
"male","Bachelor",11.36,0.32,521,1
"female","Bachelor",14.27,0.27,655,1
"male","Bachelor",11.99,0.13,663,1
"female","Bachelor",18.99,0.27,605,1
"male","Bachelor",16.7,0.25,708,1
"male","High School",9.32,0.22,571,1
"male","Bachelor",12.69,0.52,678,1
"female","High School",13.11,0.41,597,1
"male","Bachelor",10.74,0.35,689,1
"male","Bachelor",14.11,0.18,675,1
"female","High School",9.63,0.32,591,1
"female","High School",14.65,0.31,616,1
"female","High School",10.25,0.3,640,1
"male","Bachelor",14.26,0.3,593,1
"female","Bachelor",9.91,0.13,649,1
"male","Bachelor",17.19,0.32,645,1
"female","High School",11.36,0.26,537,1
"female","Bachelor",11.01,0.27,635,1
"female","Bachelor",10.59,0.24,640,0
"female","Master",9.25,0.24,625,0
"female","Master",8.49,0.15,557,1
"male","Associate",6.54,0.24,643,0
"female","Associate",8.49,0.25,631,1
"male","Bachelor",11.01,0.23,653,0
"female","Associate",12.69,0.22,623,0
"female","Bachelor",13.85,0.31,662,1
"male","Associate",7.4,0.17,667,1
"male","High School",11.71,0.22,586,0
"female","Master",11.48,0.23,719,1
"male","Master",17.51,0.22,646,1
"male","High School",14.61,0.15,646,1
"male","Bachelor",7.88,0.18,646,0
"female","Bachelor",11.01,0.17,643,0
"male","Bachelor",11.71,0.2,594,1
"male","Bachelor",11.99,0.31,664,1
"male","High School",13.49,0.33,605,1
"female","High School",20,0.31,646,1
"female","Associate",14.35,0.28,655,1
"female","Bachelor",13.61,0.22,597,0
"male","High School",11.26,0.23,679,1
"female","High School",10.59,0.1,654,0
"female","Bachelor",7.9,0.16,556,0
"male","Associate",5.99,0.29,694,1
"male","High School",11.99,0.13,587,1
"female","Associate",16.89,0.3,620,1
"female","Master",9.99,0.25,701,1
"female","High School",15.33,0.15,572,0
"male","High School",7.29,0.29,671,1
"male","High School",12.42,0.55,599,1
"male","Associate",10.99,0.37,610,1
"male","Bachelor",6.91,0.34,588,1
"male","Bachelor",14.17,0.21,691,1
"male","High School",10.25,0.33,645,1
"male","Associate",11.01,0.39,618,1
"male","Bachelor",15.95,0.31,672,1
"female","Associate",15.95,0.27,650,1
"male","High School",12.53,0.49,687,1
"male","Associate",14.91,0.06,535,1
"male","Associate",11.01,0.12,604,1
"female","Bachelor",6.54,0.43,601,1
"female","Associate",11.01,0.04,612,0
"male","Bachelor",17.26,0.41,666,1
"male","High School",11.36,0.27,645,1
"male","Bachelor",7.51,0.16,678,1
"female","Bachelor",10.71,0.29,644,1
"male","Associate",13.98,0.25,614,0
"female","Associate",14.09,0.27,627,1
"male","Master",10,0.23,523,0
"female","Master",15.33,0.21,571,1
"female","High School",16.32,0.28,546,1
"female","Associate",7.9,0.22,640,0
"female","Master",11.99,0.22,648,0
"male","High School",10.75,0.21,593,0
"male","Associate",13.92,0.2,658,0
"male","Bachelor",9.91,0.19,701,0
"female","Bachelor",16.95,0.21,702,1
"male","Associate",7.9,0.18,711,0
"male","Bachelor",11.01,0.18,570,0
"female","Associate",16.49,0.17,637,1
"female","Associate",11.97,0.31,621,1
"male","High School",6.17,0.26,637,1
"male","Associate",8.9,0.14,534,0
"female","High School",12.99,0.14,577,0
"male","Bachelor",12.69,0.21,638,0
"female","Associate",9.64,0.61,548,1
"female","High School",7.49,0.34,676,1
"male","Associate",13.16,0.24,641,0
"female","Associate",8.38,0.08,630,0
"female","High School",10.25,0.21,805,0
"male","Bachelor",7.49,0.31,518,1
"male","High School",9.76,0.62,652,1
"female","Associate",10.99,0.49,600,1
"male","Associate",11.71,0.2,649,0
"female","Associate",10.65,0.37,576,0
"male","Master",12.53,0.46,600,1
"male","Bachelor",14.59,0.43,654,1
"female","High School",12.61,0.51,593,1
"male","Associate",13.11,0.43,614,1
"male","Associate",10.65,0.25,638,0
"male","Bachelor",11.22,0.42,633,1
"female","High School",16,0.49,649,1
"female","Associate",8.88,0.48,591,1
"male","High School",12.53,0.41,656,1
"male","Bachelor",11.01,0.45,637,1
"male","Bachelor",5.99,0.19,682,0
"male","Associate",13.47,0.39,645,1
"male","High School",6.99,0.39,602,1
"male","Bachelor",15.99,0.22,637,0
"female","Associate",11.01,0.15,662,0
"male","High School",16.69,0.44,447,1
"male","Bachelor",11.11,0.43,636,1
"female","Associate",7.9,0.36,631,1
"male","Associate",10.25,0.36,632,1
"female","High School",11.01,0.36,670,1
"female","Bachelor",7.49,0.05,700,0
"male","High School",13.92,0.36,650,1
"male","Associate",14.74,0.42,665,1
"male","Associate",10.62,0.35,582,1
"male","Associate",10.65,0.34,656,1
"female","Associate",12.99,0.39,635,1
"male","High School",11.36,0.34,672,1
"female","Associate",5.79,0.31,612,0
"female","Master",6.54,0.33,615,1
"female","Master",5.79,0.16,725,0
"female","Bachelor",7.49,0.33,639,1
"female","Bachelor",13.43,0.33,691,1
"female","Bachelor",13.22,0.33,681,1
"male","Associate",14.72,0.2,604,0
"female","Associate",15.68,0.37,688,1
"male","Bachelor",11.01,0.32,672,1
"female","Bachelor",11.48,0.32,680,1
"male","Master",10.38,0.32,640,1
"male","Bachelor",12.53,0.32,629,1
"male","Bachelor",13.47,0.32,677,1
"female","Associate",12.21,0.32,571,1
"male","High School",10.99,0.31,647,1
"male","Associate",11.36,0.31,568,1
"male","Bachelor",16,0.36,700,1
"male","Bachelor",7.74,0.06,570,0
"male","High School",15.65,0.32,633,1
"male","High School",11.78,0.35,646,1
"female","Associate",11.01,0.31,614,1
"female","High School",16.77,0.35,532,1
"male","Associate",9.91,0.3,617,1
"female","Associate",15.65,0.34,603,1
"male","High School",14.96,0.34,588,1
"male","Associate",11.83,0.3,668,1
"male","High School",11.66,0.33,643,1
"male","High School",12.18,0.3,639,1
"female","Associate",6.91,0.3,525,1
"male","Bachelor",6.91,0.3,666,1
"female","Associate",19.79,0.34,642,1
"male","High School",9.88,0.3,646,1
"female","Associate",9.76,0.66,634,0
"male","Associate",12.53,0.3,655,1
"female","Associate",11.01,0.3,682,1
"male","High School",6.99,0.29,631,0
"male","Master",16.89,0.29,600,1
"female","High School",17.49,0.32,641,1
"male","Bachelor",16.82,0.1,524,0
"male","Associate",11.01,0.15,669,0
"female","Associate",13.11,0.28,593,1
"female","Associate",7.66,0.28,654,1
"male","Master",6.17,0.28,665,1
"male","Bachelor",16.35,0.31,649,1
"female","Bachelor",7.9,0.27,579,1
"female","Bachelor",16.49,0.3,671,1
"male","Bachelor",11.01,0.14,693,0
"male","Associate",8,0.28,626,0
"female","Master",10.99,0.27,677,1
"male","Master",6.91,0.3,594,0
"female","Bachelor",8.88,0.3,592,1
"male","Bachelor",11.01,0.27,583,1
"male","Master",14.84,0.3,592,1
"male","Associate",11.12,0.3,628,1
"male","Bachelor",7.88,0.28,567,1
"female","Associate",11.01,0.27,654,1
"male","Associate",15.99,0.23,623,0
"male","Associate",10.99,0.22,661,0
"male","Bachelor",11.01,0.27,658,1
"male","High School",15.65,0.31,667,1
"female","High School",17.04,0.3,602,1
"female","Bachelor",12.21,0.27,687,1
"male","Associate",15.23,0.05,626,0
"female","High School",14.11,0.3,662,1
"female","High School",11.14,0.27,536,1
"male","Associate",11.49,0.09,623,0
"female","Bachelor",13.87,0.27,647,1
"male","High School",10.08,0.28,606,1
"male","High School",16.7,0.3,645,1
"male","High School",18.64,0.3,632,1
"female","Bachelor",12.18,0.27,634,1
"male","High School",11.01,0.15,645,0
"female","High School",6.54,0.26,574,1
"male","High School",14.61,0.29,576,1
"female","Bachelor",17.39,0.29,664,1
"male","High School",11.12,0.26,562,1
"female","Bachelor",11.48,0.26,637,1
"female","Master",12.42,0.26,656,1
"male","Bachelor",10.25,0.28,590,1
"female","Bachelor",10.65,0.25,653,1
"female","Associate",16.29,0.19,612,0
"female","Bachelor",10.37,0.25,703,1
"male","Bachelor",11.49,0.25,596,1
"male","High School",10.59,0.38,586,0
"male","Master",13.49,0.21,650,0
"female","Bachelor",11.01,0.28,610,1
"male","Master",12.29,0.28,650,1
"female","Bachelor",17.27,0.14,579,1
"male","Associate",11.99,0.25,534,1
"female","Associate",14.84,0.28,540,1
"male","High School",10.83,0.28,584,1
"female","Associate",13.22,0.25,584,1
"female","High School",12.18,0.25,639,0
"male","Bachelor",11.11,0.25,607,0
"female","Master",13.48,0.24,681,0
"male","High School",10.75,0.24,710,0
"male","High School",12.53,0.24,634,0
"male","High School",14.84,0.26,595,1
"male","Bachelor",17.74,0.24,707,0
"male","Bachelor",9.99,0.24,627,0
"male","Bachelor",6.91,0.24,592,0
"female","Bachelor",11.01,0.26,699,1
"male","High School",14.09,0.23,566,0
"male","High School",11.49,0.11,667,0
"female","High School",14.09,0.23,638,0
"female","Associate",15.2,0.3,620,1
"male","High School",11.83,0.23,667,0
"female","Bachelor",12.21,0.23,655,0
"male","Associate",14.11,0.25,666,1
"male","High School",14.42,0.25,655,1
"male","High School",14.74,0.23,604,0
"female","Master",12.69,0.22,672,0
"female","Bachelor",16.89,0.06,596,1
"male","High School",11.01,0.22,658,0
"male","Associate",11.01,0.17,608,1
"male","Bachelor",9.63,0.32,686,0
"female","Associate",8.88,0.22,687,0
"female","Bachelor",6.91,0.22,652,0
